"","country","ccode","ewp_name"
"144","Sri Lanka (Ceylon)",780,"Sri Lanka (Ceylon)"
"145","Sudan",625,"Sudan"
"146","Surinam",115,"Surinam"
"147","Swaziland",572,"Swaziland"
"148","Sweden",380,"Sweden"
"149","Switzerland",225,"Switzerland"
"150","Syria",652,"Syria"
"151","Tajikistan",702,"Tajikistan"
"152","Tanzania/Tanganyika",510,"Tanzania/Tanganyika"
"153","Thailand",800,"Thailand"
"154","Togo",461,"Togo"
"155","Trinidad and Tobago",52,"Trinidad and Tobago"
"156","Tunisia",616,"Tunisia"
"157","Turkey (Ottoman Empire)",640,"Turkey (Ottoman Empire)"
"158","Turkmenistan",701,"Turkmenistan"
"159","Uganda",500,"Uganda"
"160","Ukraine",369,"Ukraine"
"161","United Arab Emirates",696,"United Arab Emirates"
"162","United Kingdom",200,"United Kingdom"
"163","United States of America",2,"United States of America"
"164","Uruguay",165,"Uruguay"
"165","Uzbekistan",704,"Uzbekistan"
"166","Venezuela",101,"Venezuela"
"167","Vietnam, Democratic Republic of",816,"Vietnam, Democratic Republic of"
"168","Vietnam, Republic of",817,"Vietnam, Republic of"
"169","Yemen",679,"Yemen"
"170","Yemen (Arab Republic of Yemen)",678,"Yemen (Arab Republic of Yemen)"
"171","Yemen, People's Republic of",680,"Yemen, People's Republic of"
"172","Zambia",551,"Zambia"
"173","Zimbabwe (Rhodesia)",552,"Zimbabwe (Rhodesia)"
