"","ewp_name","risk.2025and2026.from2024","rank.2025and2026.from2025","risk.2025only.from2024","riskrank.2025only.from2024","risk.2024and2025.from2023","rank.2024and2025.from2023","widetargeting","narrowtargeting","v2csgender_binary","v2mecenefm_binary","partyban.new.0","partyban.new.1","partyban.new.2","minorityrule","judicialreform","religiousfreedom","pol_killing_approved","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","popsize.log2","gdppcgrowth","un_imr_sqrt","efindex","discrimpop","reg.na","reg.eap","reg.sca","reg.mna","reg.eur","ios.iccpr1","battledeaths.log2","coup.try.5yr","mk_ongoing_count_log2","mean_mk_onset_interaction","mk_onset_prev_year","newcountry","mk_ever","year_sq","year","countryage.new.log2","includesnonstate","ccode"
"1","Burma/Myanmar",0.1026,1,0.0617,1,0.1054,3,1,0,0,1,1,0,0,1,0,2,1,0.053,1,0,1,1,-1.08,25.7,-1.638,5.769,0.59,0.0605,0,1,0,0,0,0,11.19,1,2,4,0,0,1,4097000,2024,6.267,1,775
"2","Sudan",0.08631,2,0.04781,3,0.1102,2,1,0,0,1,0,0,1,1,0,2,0,0.384,0,0,1,1,0.628,25.59,-21.16,6.107,0.746,0.12,0,0,0,0,0,0,12.19,1,1,4,1,0,1,4097000,2024,6.109,1,625
"3","Chad",0.08361,3,0.03883,6,0.129,1,0,0,0,1,0,0,1,1,0,3,1,0.385,0,0,1,1,-1.221,24.27,-1.35,7.954,0.855,0,0,0,0,0,0,1,0,1,0,2,0,0,1,4097000,2024,6.022,1,483
"4","India",0.0811,4,0.0424,5,0.08288,5,0,0,0,1,0,0,1,0,1,2,0,0.684,0,0,1,1,-0.081,30.43,5.54,4.757,0.42,0.1195,0,0,1,0,0,0,8.775,0,0,3,0,0,1,4097000,2024,6.285,1,750
"5","Burkina Faso",0.08008,5,0.05014,2,0.08182,6,1,0,0,1,0,1,0,0,0,3,0,0.268,0,0,1,0,1.462,24.49,2.653,7.362,0.767,0,0,0,0,0,0,1,11.1,1,1.585,2,0,0,1,4097000,2024,6.022,1,439
"6","Pakistan",0.07759,6,0.04281,4,0.09793,4,1,0,0,1,0,0,1,0,0,2,0,0.57,1,0,1,1,-0.882,27.9,1.688,6.957,0.748,0.055,0,0,1,0,0,0,10.65,0,1,2,0,0,1,4097000,2024,6.285,1,770
"7","Afghanistan",0.06103,7,0.03306,8,0.06961,7,0,0,1,1,1,0,0,1,1,0,1,0.05,1,0,1,1,-1.245,25.35,0.1061,6.531,0.763,0,0,0,1,0,0,0,7.066,0,0,4,0,0,1,4097000,2024,6.728,1,700
"8","Nigeria",0.05827,8,0.0324,9,0.06188,9,1,0,0,0,0,0,1,0,1,4,0,0.918,0,0,0,0,-0.6,27.79,1.294,8.274,0.85,0,0,0,0,0,0,0,10.63,0,1.585,5,0,0,1,4097000,2024,6.022,1,475
"9","Guinea",0.05668,9,0.02762,14,0.05699,11,0,0,0,0,0,1,0,0,1,4,0,0.336,0,0,1,1,0.131,23.81,3.167,8.041,0.727,0,0,0,0,0,0,1,0,1,0,1,0,0,1,4097000,2024,6.066,1,438
"10","Yemen",0.05617,10,0.03105,10,0.06014,10,0,0,1,1,0,0,1,1,1,0,1,0.369,0,0,1,1,-1.116,25.27,-0.5053,5.609,0.126,0.01,0,0,0,1,0,0,9.607,0,0,0,0,0,1,4097000,2024,5.129,1,679
