"","ewp_name","risk_1or2.from2024","risk_rank.from2024"
"1","Burma/Myanmar",0.1026,1
"2","Sudan",0.0863,2
"3","Chad",0.0836,3
"4","India",0.0811,4
"5","Burkina Faso",0.0801,5
"6","Pakistan",0.0776,6
"7","Afghanistan",0.061,7
"8","Nigeria",0.0583,8
"9","Guinea",0.0567,9
"10","Yemen",0.0562,10
"11","Ethiopia",0.0513,11
"12","Niger",0.0484,12
"13","Democratic Republic of Congo",0.0467,13
"14","Indonesia",0.0457,14
"15","Iran",0.0444,15
"16","Mali",0.0428,16
"17","Cambodia",0.0396,17
"18","Bangladesh",0.0386,18
"19","Iraq",0.0373,19
"20","Syria",0.0362,20
"21","Philippines",0.0356,21
"22","Mozambique",0.0344,22
"23","Somalia",0.0337,23
"24","Russia",0.0337,24
"25","Turkey",0.0322,25
"26","Angola",0.028,26
"27","Republic of Congo",0.0278,27
"28","China",0.0276,28
"29","South Sudan",0.0273,29
"30","Thailand",0.0269,30
"31","Tajikistan",0.0266,31
"32","Egypt",0.0266,32
"33","Laos",0.0265,33
"34","Uganda",0.0264,34
"35","Central African Republic",0.0262,35
"36","Algeria",0.0242,36
"37","Tanzania",0.0233,37
"38","Ivory Coast",0.0231,38
"39","Eritrea",0.0226,39
"40","Burundi",0.0225,40
"41","Nepal",0.022,41
"42","Cameroon",0.0216,42
"43","South Africa",0.0212,43
"44","Kenya",0.0203,44
"45","Sierra Leone",0.0195,45
"46","Malawi",0.0186,46
"47","Liberia",0.0184,47
"48","Democratic Republic of Vietnam",0.0183,48
"49","Sri Lanka",0.0177,49
"50","Haiti",0.0163,50
"51","Gabon",0.016,51
"52","Zimbabwe",0.0158,52
"53","Togo",0.0157,53
"54","Libya",0.0149,54
"55","Colombia",0.0138,55
"56","Equatorial Guinea",0.0134,56
"57","Morocco",0.0131,57
"58","Madagascar",0.013,58
"59","Mauritania",0.0129,59
"60","Rwanda",0.0127,60
"61","Bahrain",0.0125,61
"62","Zambia",0.012,62
"63","Ukraine",0.0118,63
"64","Nicaragua",0.0114,64
"65","Uzbekistan",0.0113,65
"66","Peru",0.011,66
"67","North Korea",0.0105,67
"68","Senegal",0.0104,68
"69","Namibia",0.0101,69
"70","Brazil",0.0095,70
"71","Bosnia and Herzegovina",0.0094,71
"72","Georgia",0.0094,72
"73","United States of America",0.0093,73
"74","Djibouti",0.0091,74
"75","Argentina",0.0091,75
"76","Bhutan",0.009,76
"77","Venezuela",0.009,77
"78","Jordan",0.009,78
"79","Lebanon",0.0089,79
"80","Israel",0.008,80
"81","Mexico",0.0079,81
"82","Botswana",0.0079,82
"83","United Arab Emirates",0.0078,83
"84","El Salvador",0.0075,84
"85","Guinea-Bissau",0.0074,85
"86","Comoros",0.007,86
"87","Kazakhstan",0.007,87
"88","Papua New Guinea",0.007,88
"89","Benin",0.0067,89
"90","Eswatini",0.0066,90
"91","Azerbaijan",0.0063,91
"92","Guatemala",0.0059,92
"93","Fiji",0.0059,93
"94","South Korea",0.0058,94
"95","Canada",0.0057,95
"96","Moldova",0.0056,96
"97","Bolivia",0.0056,97
"98","Timor-Leste",0.0055,98
"99","Ecuador",0.0054,99
"100","Ghana",0.0054,100
"101","Kyrgystan",0.0054,101
"102","Poland",0.0052,102
"103","Romania",0.005,103
"104","Hungary",0.005,104
"105","Honduras",0.0049,105
"106","Saudi Arabia",0.0046,106
"107","Paraguay",0.0046,107
"108","United Kingdom",0.0045,108
"109","Japan",0.0045,109
"110","Malaysia",0.0044,110
"111","Turkmenistan",0.0044,111
"112","Cyprus",0.0044,112
"113","Serbia",0.0044,113
"114","Panama",0.0044,114
"115","Czech Republic",0.0043,115
"116","Belarus",0.004,116
"117","Slovakia",0.004,117
"118","Maldives",0.004,118
"119","Germany",0.004,119
"120","Spain",0.0039,120
"121","Dominican Republic",0.0039,121
"122","France",0.0038,122
"123","Croatia",0.0037,123
"124","Chile",0.0037,124
"125","Italy",0.0036,125
"126","Lesotho",0.0035,126
"127","Greece",0.0034,127
"128","The Gambia",0.0034,128
"129","Australia",0.0034,129
"130","Tunisia",0.0034,130
"131","Guyana",0.0033,131
"132","Uruguay",0.0033,132
"133","Netherlands",0.0031,133
"134","Kuwait",0.003,134
"135","Oman",0.003,135
"136","Switzerland",0.003,136
"137","Belgium",0.003,137
"138","Singapore",0.0028,138
"139","Qatar",0.0028,139
"140","Mongolia",0.0027,140
"141","New Zealand",0.0027,141
"142","Cuba",0.0027,142
"143","Portugal",0.0027,143
"144","Austria",0.0027,144
"145","Bulgaria",0.0027,145
"146","Sweden",0.0026,146
"147","Kosovo",0.0025,147
"148","Macedonia",0.0024,148
"149","Denmark",0.0024,149
"150","Albania",0.0024,150
"151","Mauritius",0.0024,151
"152","Ireland",0.0024,152
"153","Armenia",0.0023,153
"154","Solomon Islands",0.0023,154
"155","Finland",0.0023,155
"156","Norway",0.0022,156
"157","Lithuania",0.0022,157
"158","Latvia",0.0021,158
"159","Slovenia",0.0019,159
"160","Cape Verde",0.0019,160
"161","Estonia",0.0019,161
"162","Montenegro",0.0017,162
"163","Luxembourg",0.0017,163
"164","Costa Rica",0.0017,164
"165","Malta",0.0016,165
"166","Jamaica",0.0016,166
"167","Trinidad and Tobago",0.0015,167
"168","Suriname",0.0013,168
