"","ewp_name","risk.2025and2026.from2024","rank.2025and2026.from2025","risk.2025only.from2024","riskrank.2025only.from2024","risk.2024and2025.from2023","rank.2024and2025.from2023","widetargeting","narrowtargeting","v2csgender_binary","v2mecenefm_binary","partyban.new.0","partyban.new.1","partyban.new.2","minorityrule","judicialreform","religiousfreedom","pol_killing_approved","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","popsize.log2","gdppcgrowth","un_imr_sqrt","efindex","discrimpop","reg.na","reg.eap","reg.sca","reg.mna","reg.eur","ios.iccpr1","battledeaths.log2","coup.try.5yr","mk_ongoing_count_log2","mean_mk_onset_interaction","mk_onset_prev_year","newcountry","mk_ever","year_sq","year","countryage.new.log2","includesnonstate","ccode"
"22","Russia",0.03276,22,0.01741,24,0.0336,22,0,0,0,1,0,1,0,0,1,2,0,0.272,0,0,1,1,-1.446,27.1,3.894,2.057,0.376,0.0032,0,0,0,0,1,1,6.358,0,0,2,0,0,1,4097000,2024,7.707,1,365
"23","Somalia",0.03181,23,0.02226,16,0.03396,21,1,0,1,1,0,0,1,0,1,1,0,0.671,0,0,0,0,-0.129,24.18,0.4142,8.098,0.222,0,0,0,0,0,0,1,11.17,0,1,3,0,0,1,4097000,2024,6.022,1,520
"24","Mozambique",0.03154,24,0.01885,20,0.03252,24,0,0,0,1,0,0,1,0,1,4,0,0.537,0,0,0,0,1.118,25.05,-1.079,6.981,0.69,0,0,0,0,0,0,0,7.248,0,0,1,0,0,1,4097000,2024,5.644,1,541
"25","Turkey",0.03026,25,0.01787,22,0.0327,23,0,0,0,1,0,0,1,0,0,2,0,0.193,0,0,0,1,0.293,26.35,2.952,3.097,0.521,0.1866,0,0,0,0,1,1,7.714,0,0,1,0,0,1,4097000,2024,7.707,1,640
"26","Angola",0.03006,26,0.01648,26,0.02658,31,0,0,0,1,0,0,1,1,1,3,0,0.677,0,0,0,1,-0.327,25.18,1.293,6.906,0.779,0,0,0,0,0,0,1,4.7,0,0,1,0,0,1,4097000,2024,5.644,1,540
"27","China",0.02785,27,0.01388,29,0.02809,28,0,0,0,1,1,0,0,1,1,0,0,0.086,1,0,1,1,-0.066,30.39,5.107,2.526,0.19,0.0134,0,1,0,0,0,0,0,0,0,3,0,0,1,4097000,2024,7.707,1,710
"28","Laos",0.02719,28,0.01397,28,0.02795,29,0,0,0,1,1,0,0,1,1,2,1,0.032,0,0,0,1,0.003,22.89,2.852,5.506,0.634,0.08,0,1,0,0,0,0,0,0,0,2,0,0,1,4097000,2024,6.248,1,812
"29","Republic of Congo",0.0266,29,0.01298,31,0.0164,52,0,0,0,1,0,0,1,0,1,3,1,0.17,0,0,0,1,-0.151,22.59,0.1488,5.291,0.704,0,0,0,0,0,0,1,0,0,0,3,0,0,1,4097000,2024,6.022,1,484
"30","Tajikistan",0.02639,30,0.01251,35,0.02827,26,0,0,0,1,0,1,0,1,1,1,0,0.029,0,0,0,1,-1.845,23.34,6.341,4.582,0.367,0,0,0,1,0,0,1,0,0,0,1,0,0,1,4097000,2024,5.087,1,702
"31","South Sudan",0.02637,31,0.01295,32,0.02729,30,1,0,0,1,0,0,1,1,1,3,0,0.202,1,0,0,1,-1.123,23.51,-9.769,7.948,0.73,0.04,0,0,0,0,0,0,0,0,1.585,1,0,0,1,4097000,2024,3.807,1,626
